,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
2372,1014,49,0,Travel_Frequently,Research & Development,28,College,Life Sciences,1,Male,2,2,Laboratory Technician,1,Single,4284,3,No,20,3,1,0,20,2,3,4,3,1,3,LinkedIn,29
2879,4095,31,1,Travel_Rarely,Research & Development,2,Below college,Medical,4,Male,3,1,Research Scientist,4,Married,2862,1,No,12,3,2,1,10,2,2,10,0,0,8,Indeed,21
847,2514,32,1,Travel_Rarely,Sales,8,College,Technical Degree,3,Female,2,2,Sales Executive,2,Married,5228,1,Yes,11,4,4,0,13,2,3,13,12,11,9,GlassDoor,19
815,7733,31,1,Travel_Rarely,Sales,7,Bachelor,Technical Degree,2,Male,4,2,Sales Executive,4,Married,6929,4,No,11,3,2,1,10,3,2,8,7,7,7,Seek,21
333,4973,56,0,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2,Company Website,19
532,9611,56,0,Travel_Rarely,Research & Development,8,Bachelor,Marketing,3,Female,3,1,Research Director,1,Married,19701,1,Yes,21,4,3,1,32,3,3,2,2,2,2,Seek,24
1634,1828,27,1,Travel_Rarely,Sales,8,Master,Marketing,3,Female,3,1,Research Scientist,3,Single,2318,1,No,19,3,3,0,1,2,3,1,1,0,0,LinkedIn,26
215,6003,50,1,Travel_Rarely,Sales,3,College,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2,Company Website,47
1639,8276,33,1,Travel_Rarely,Research & Development,1,Master,Other,3,Male,2,1,Research Scientist,1,Single,2799,3,Yes,11,3,2,0,6,1,3,3,2,0,2,Jora,27
3105,8258,29,1,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,1,Single,2062,3,No,14,3,2,0,11,2,3,3,2,1,2,Company Website,18
2785,2157,23,1,Travel_Rarely,Research & Development,4,Below college,Medical,4,Male,2,4,Research Director,3,Married,17603,1,No,24,4,1,1,14,3,3,14,10,6,11,Indeed,9
279,4390,32,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,Indeed,3
379,6210,38,0,Travel_Rarely,Research & Development,9,College,Life Sciences,1,Male,3,1,Research Scientist,1,Married,2235,3,Yes,14,3,4,2,9,3,2,9,7,6,8,Jora,29
1866,5662,55,0,Non-Travel,Research & Development,2,Below college,Medical,3,Male,2,4,Manager,1,Single,16756,7,No,15,4,2,0,31,3,4,9,7,6,2,Adzuna,24
233,3320,30,1,Travel_Frequently,Research & Development,1,College,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,3,4,0,12,2,3,12,8,3,7,Adzuna,18
1920,2753,34,1,Travel_Rarely,Research & Development,6,Below college,Medical,3,Male,2,1,Research Scientist,2,Single,2313,4,Yes,20,3,2,0,5,0,3,2,2,2,2,Company Website,29
2274,8446,20,1,Travel_Rarely,Research & Development,10,Below college,Medical,3,Male,3,2,Research Scientist,4,Single,4661,1,No,13,4,3,0,9,4,3,9,8,8,8,Company Website,11
2448,6349,40,0,Non-Travel,Research & Development,8,Below college,Medical,4,Male,2,3,Research Director,2,Divorced,13757,2,No,11,3,3,1,16,5,3,9,8,4,8,Company Website,24
3010,2423,30,1,Travel_Rarely,Research & Development,10,Bachelor,Medical,1,Female,3,3,Manufacturing Director,3,Single,9667,9,No,14,3,2,0,9,3,3,7,7,0,2,GlassDoor,21
3042,1338,29,1,Travel_Frequently,Research & Development,14,Below college,Other,4,Female,3,1,Research Scientist,3,Single,1514,1,No,16,3,3,0,0,4,1,0,0,0,0,Jora,29
2041,4635,37,0,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,4,Female,2,2,Manufacturing Director,4,Married,6474,1,No,13,4,2,1,14,2,2,14,8,3,11,Seek,23
417,3415,33,1,Travel_Rarely,Research & Development,2,College,Life Sciences,1,Female,3,1,Research Scientist,2,Married,1859,1,Yes,25,4,2,0,1,2,4,1,1,0,0,Seek,32
2325,3482,31,1,Travel_Rarely,Research & Development,22,Master,Medical,4,Male,3,2,Manufacturing Director,3,Married,6179,1,Yes,15,3,4,2,10,3,2,10,2,6,7,Seek,21
2674,3910,34,1,Travel_Frequently,Research & Development,10,Master,Medical,3,Male,3,1,Laboratory Technician,4,Single,2795,1,Yes,24,3,1,2,7,2,3,5,2,1,4,Jora,27
2033,6591,33,1,Travel_Rarely,Research & Development,14,Bachelor,Medical,3,Female,3,5,Manager,1,Divorced,19943,4,No,13,3,4,1,28,2,3,5,2,4,2,Company Website,5
403,6046,41,0,Travel_Rarely,Sales,6,Bachelor,Life Sciences,1,Female,3,3,Sales Executive,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8,Seek,31
368,6792,56,1,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,4,2,0,1,5,3,1,0,1,0,Adzuna,55
1837,1813,53,1,Travel_Frequently,Sales,2,Bachelor,Marketing,3,Female,2,3,Sales Executive,2,Married,7525,2,No,12,4,1,1,30,2,3,15,7,6,12,Company Website,23
1944,5607,55,0,Travel_Rarely,Research & Development,8,Bachelor,Medical,3,Female,3,3,Manufacturing Director,2,Divorced,7655,0,No,17,3,2,3,10,3,2,9,7,1,7,LinkedIn,45
2128,7949,31,1,Travel_Rarely,Research & Development,11,College,Medical,3,Male,3,2,Healthcare Representative,1,Married,6833,1,Yes,12,4,4,0,6,2,2,6,5,0,1,Recruit.net,25
1762,7693,60,1,Travel_Rarely,Sales,7,Master,Marketing,3,Female,3,1,Laboratory Technician,2,Single,2422,0,No,17,3,1,0,4,3,3,3,2,1,2,Jora,56
2665,7397,45,0,Travel_Rarely,Research & Development,5,Doctor,Life Sciences,3,Female,1,2,Laboratory Technician,1,Single,5769,1,Yes,14,3,1,0,10,3,3,10,7,1,4,Jora,35
1562,4081,25,1,Travel_Rarely,Sales,5,Bachelor,Life Sciences,3,Female,4,2,Laboratory Technician,4,Married,5231,1,Yes,13,3,2,1,17,1,2,5,3,1,3,Adzuna,8
1603,2677,58,1,Travel_Frequently,Research & Development,2,Below college,Life Sciences,4,Male,2,1,Laboratory Technician,4,Divorced,2380,9,Yes,14,3,4,1,3,3,2,1,0,0,0,LinkedIn,55
2764,8000,44,0,Travel_Rarely,Sales,12,Bachelor,Medical,4,Male,3,2,Manufacturing Director,2,Married,5295,1,No,15,3,1,1,4,3,2,4,3,1,1,Recruit.net,40
1917,4868,26,1,Travel_Rarely,Research & Development,21,Bachelor,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,No,20,3,3,1,1,0,2,1,1,0,0,Seek,25
2691,5372,28,1,Travel_Rarely,Research & Development,27,Bachelor,Medical,2,Female,1,2,Manufacturing Director,1,Divorced,4877,0,No,21,4,2,1,6,5,2,5,3,0,0,LinkedIn,22
2616,8118,26,1,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Female,3,1,Research Scientist,4,Married,2061,1,No,21,3,1,0,1,5,3,1,0,0,0,Indeed,25
2997,6238,37,0,Travel_Rarely,Research & Development,10,Master,Medical,4,Male,3,2,Manufacturing Director,1,Single,4213,1,No,15,3,2,0,10,4,1,10,3,0,8,Adzuna,27
794,2112,26,1,Travel_Rarely,Sales,4,Master,Marketing,4,Male,2,2,Sales Executive,4,Single,5828,1,Yes,12,3,2,0,8,0,3,8,7,7,4,Company Website,18
3064,1210,45,0,Travel_Rarely,Research & Development,2,College,Other,4,Male,3,3,Manufacturing Director,4,Divorced,8578,3,No,14,3,3,1,12,4,2,9,8,4,7,LinkedIn,33
293,6685,56,0,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,4,3,1,25,2,3,1,0,0,0,Company Website,31
1973,7139,34,1,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,2,Manufacturing Director,3,Single,4033,2,No,11,4,4,0,5,3,2,3,2,0,2,Adzuna,29
114,3667,34,1,Travel_Rarely,Research & Development,19,College,Medical,1,Male,2,4,Manager,4,Divorced,14118,3,No,12,3,3,1,32,3,2,1,0,0,0,Jora,2
1036,2027,28,1,Travel_Frequently,Research & Development,2,Bachelor,Life Sciences,2,Female,1,2,Manufacturing Director,4,Single,6091,2,No,20,3,3,0,11,2,3,5,4,0,2,Company Website,17
1205,3601,29,1,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,2,Female,3,2,Healthcare Representative,4,Married,4089,1,No,13,3,2,2,10,4,3,10,2,2,2,LinkedIn,19
3132,4422,42,0,Travel_Rarely,Research & Development,4,College,Technical Degree,4,Male,2,2,Sales Executive,2,Married,5507,2,No,16,3,3,2,12,1,1,4,2,1,3,Jora,30
144,8770,32,0,Travel_Rarely,Research & Development,5,College,Life Sciences,3,Female,2,3,Sales Executive,1,Married,10266,4,No,19,4,4,0,22,5,4,18,13,13,11,Adzuna,10
714,8800,40,0,Travel_Rarely,Research & Development,2,College,Medical,1,Male,3,5,Research Director,3,Divorced,19436,0,No,19,4,4,1,22,5,3,21,7,3,9,Company Website,18
1652,9910,41,0,Travel_Rarely,Sales,1,Bachelor,Marketing,3,Female,3,2,Sales Executive,3,Married,6932,1,No,13,3,4,1,9,2,2,9,8,0,0,GlassDoor,32
1620,6868,35,1,Travel_Rarely,Sales,16,Bachelor,Marketing,3,Female,2,1,Sales Representative,4,Single,3294,1,Yes,18,3,1,0,15,5,3,1,0,0,0,Company Website,20
2044,7474,20,1,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,3033,1,No,12,3,1,0,2,2,2,2,2,1,2,Jora,18
3210,7760,45,0,Travel_Rarely,Sales,2,College,Technical Degree,4,Female,3,2,Healthcare Representative,4,Divorced,6667,5,No,18,4,2,1,9,6,3,5,1,1,2,GlassDoor,36
2131,9351,28,1,Travel_Rarely,Research & Development,16,College,Medical,3,Female,2,2,Healthcare Representative,1,Single,6812,1,No,19,4,2,0,10,2,3,10,9,1,8,Seek,18
3137,1413,31,1,Travel_Rarely,Sales,10,College,Medical,3,Female,3,2,Sales Executive,4,Divorced,6583,2,Yes,11,3,4,1,8,2,3,5,2,1,4,Seek,23
1643,4078,31,1,Travel_Rarely,Sales,7,Master,Life Sciences,2,Male,2,1,Sales Representative,3,Married,2329,3,No,15,3,2,0,13,2,4,7,7,5,2,GlassDoor,18
3076,9121,39,0,Travel_Rarely,Research & Development,19,Master,Other,4,Female,2,2,Sales Representative,3,Married,3540,1,No,21,4,4,1,9,5,3,9,8,5,8,Seek,30
1045,1096,28,1,Non-Travel,Research & Development,1,Bachelor,Life Sciences,2,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,4,2,0,6,4,3,5,3,1,4,Company Website,22
3267,7289,38,1,Travel_Rarely,Sales,1,Master,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,2,Yes,11,3,3,0,6,3,3,3,2,1,2,Company Website,32
1629,6492,27,1,Non-Travel,Sales,1,Below college,Marketing,3,Female,3,1,Research Scientist,3,Divorced,2377,5,No,18,3,1,1,11,3,3,7,6,7,6,Company Website,16
1007,4482,43,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,2,Male,3,1,Laboratory Technician,4,Married,2258,7,No,20,3,1,1,8,1,3,3,2,1,2,Recruit.net,35
2333,5974,27,1,Non-Travel,Research & Development,3,Bachelor,Medical,3,Female,3,2,Research Scientist,4,Divorced,5467,3,Yes,14,3,1,2,12,4,2,6,2,3,3,LinkedIn,15
2233,2683,36,0,Travel_Rarely,Research & Development,10,Master,Technical Degree,4,Female,3,3,Healthcare Representative,3,Married,7094,3,No,12,3,1,0,10,0,3,7,7,1,7,Seek,26
363,6215,37,1,Travel_Rarely,Human Resources,6,Master,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,3,4,0,7,3,3,3,2,0,2,Company Website,30
2224,6196,26,1,Travel_Rarely,Sales,29,College,Medical,3,Male,3,2,Laboratory Technician,3,Married,4883,1,No,18,3,1,1,10,3,3,10,4,1,1,Jora,16
2378,4607,36,1,Travel_Rarely,Research & Development,2,Master,Medical,3,Female,3,5,Research Director,1,Married,19701,3,Yes,21,3,3,1,32,3,3,9,8,1,5,Jora,4
1336,6401,31,0,Travel_Rarely,Research & Development,2,Master,Life Sciences,2,Male,2,5,Manager,3,Married,19189,1,No,12,3,2,1,22,3,3,22,7,2,10,GlassDoor,9
1624,2173,41,0,Travel_Rarely,Research & Development,2,Master,Life Sciences,2,Female,1,1,Laboratory Technician,4,Divorced,2778,4,Yes,13,3,3,1,10,1,2,7,7,1,0,Company Website,31
2186,8439,44,0,Travel_Rarely,Research & Development,4,College,Life Sciences,3,Male,4,5,Manager,1,Divorced,19190,1,No,14,3,4,2,26,4,2,25,9,14,13,Company Website,18
1663,2933,30,1,Travel_Rarely,Sales,7,Below college,Marketing,3,Male,2,3,Sales Executive,2,Divorced,9705,2,No,12,3,2,1,11,2,2,1,0,0,0,Recruit.net,19
3226,3227,54,0,Travel_Rarely,Research & Development,9,College,Life Sciences,1,Female,3,2,Research Scientist,3,Married,2897,3,No,11,3,3,2,9,6,2,4,3,2,3,Indeed,45
1484,6344,34,1,Travel_Frequently,Research & Development,16,Master,Life Sciences,3,Female,2,1,Research Scientist,4,Single,2553,1,No,16,3,3,0,6,3,3,5,2,1,3,Adzuna,28
223,3131,38,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,3,1,Research Scientist,3,Married,2821,2,No,16,3,1,1,8,2,3,2,2,2,2,Company Website,30
666,2956,33,1,Travel_Rarely,Research & Development,14,Bachelor,Medical,3,Male,3,1,Laboratory Technician,4,Married,2436,5,Yes,13,4,3,1,8,2,1,5,4,0,4,Recruit.net,25
2004,7731,40,0,Travel_Frequently,Research & Development,9,Master,Medical,2,Female,3,3,Research Director,3,Single,13499,9,No,17,3,3,0,20,3,2,18,7,2,13,Seek,20
830,3428,45,0,Non-Travel,Research & Development,4,College,Life Sciences,2,Male,2,2,Human Resources,1,Married,6410,3,No,12,4,4,0,9,1,3,2,2,1,0,Recruit.net,36
2509,3731,28,1,Travel_Frequently,Sales,7,Bachelor,Life Sciences,3,Male,3,2,Sales Executive,1,Single,4898,0,No,14,3,4,0,5,5,3,4,2,1,3,GlassDoor,23
866,7471,39,0,Travel_Rarely,Research & Development,1,Below college,Life Sciences,2,Male,2,2,Sales Executive,4,Single,4682,3,No,14,4,3,0,9,6,2,7,7,0,1,Recruit.net,30
1498,5747,41,0,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,3,Female,3,2,Sales Executive,2,Married,4779,1,Yes,20,3,1,0,8,2,3,8,7,7,5,Company Website,33
2788,5214,38,0,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,4,Male,3,2,Research Scientist,4,Married,4735,7,No,15,3,4,2,19,4,4,13,11,2,9,Seek,19
2913,9314,29,1,Travel_Rarely,Research & Development,28,Master,Medical,4,Male,4,2,Healthcare Representative,3,Single,6294,8,Yes,12,3,4,0,10,5,4,3,2,0,2,Company Website,19
1970,4954,35,0,Travel_Frequently,Sales,11,College,Medical,4,Male,2,1,Laboratory Technician,4,Divorced,2532,6,No,14,3,2,1,9,3,2,6,5,1,2,Company Website,26
2343,6769,35,0,Travel_Rarely,Research & Development,27,Below college,Medical,3,Male,3,3,Healthcare Representative,3,Married,10920,3,No,21,3,2,1,13,2,3,6,4,0,5,LinkedIn,22
3224,6939,53,1,Travel_Rarely,Sales,24,Master,Life Sciences,1,Male,3,3,Sales Executive,1,Single,10448,6,Yes,13,3,2,0,15,2,2,2,2,2,2,Company Website,38
960,4131,37,0,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,2,Male,3,2,Sales Executive,4,Single,5253,1,No,16,3,4,0,7,1,3,7,5,0,7,GlassDoor,30
1467,4753,29,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,3,Female,2,2,Manufacturing Director,4,Married,6062,9,Yes,13,3,4,1,8,4,3,4,3,0,2,Recruit.net,21
786,2210,28,1,Travel_Rarely,Research & Development,8,College,Life Sciences,4,Female,3,1,Research Scientist,4,Single,3310,1,No,21,3,4,0,5,3,3,5,3,0,2,Seek,23
1648,2590,40,0,Travel_Rarely,Sales,2,College,Marketing,3,Female,3,3,Laboratory Technician,2,Married,7403,4,No,11,3,3,1,29,3,2,26,9,1,7,Indeed,11
1162,5050,55,0,Travel_Rarely,Research & Development,4,Master,Life Sciences,2,Male,3,3,Sales Executive,2,Divorced,8834,1,No,13,3,4,1,9,6,3,9,5,7,7,Recruit.net,46
47,7824,32,1,Travel_Rarely,Research & Development,1,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,13,3,4,0,1,2,3,1,0,0,0,Indeed,31
752,8682,42,0,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,1,Male,3,2,Sales Executive,4,Married,6502,4,No,14,3,2,1,7,5,4,5,4,0,1,Indeed,35
74,5907,26,1,Travel_Rarely,Sales,4,Master,Marketing,3,Male,3,2,Healthcare Representative,3,Married,5237,1,Yes,12,3,2,0,8,0,3,8,7,7,4,Company Website,18
713,5705,34,0,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Female,2,1,Laboratory Technician,1,Divorced,2593,0,Yes,11,3,3,1,10,4,3,9,6,7,8,GlassDoor,24
1859,7740,54,0,Travel_Rarely,Sales,2,Master,Life Sciences,3,Female,2,3,Sales Executive,3,Married,10686,6,No,11,3,2,1,13,4,3,9,4,7,0,Jora,41
3320,2714,45,0,Travel_Rarely,Research & Development,1,Master,Technical Degree,4,Female,2,3,Sales Executive,4,Married,7644,0,No,19,3,3,2,10,2,3,9,7,3,4,Company Website,35
283,9731,36,0,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,4,2,3,17,2,3,17,14,12,8,GlassDoor,19
1886,6902,31,1,Travel_Frequently,Sales,26,Master,Marketing,3,Male,3,2,Manufacturing Director,1,Married,9957,0,No,15,3,3,1,7,1,2,6,2,0,2,Jora,24
1760,6265,20,1,Travel_Rarely,Research & Development,11,Bachelor,Medical,2,Female,2,1,Sales Representative,1,Single,2600,1,Yes,15,3,1,0,20,2,3,20,7,2,13,Seek,0
373,6108,37,1,Non-Travel,Research & Development,2,College,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,1,17,2,4,1,0,0,0,Company Website,20
2488,1295,35,1,Travel_Rarely,Sales,7,Below college,Life Sciences,4,Male,3,1,Sales Representative,3,Married,2404,1,No,13,4,1,1,1,3,3,1,0,0,0,LinkedIn,34
433,2493,45,0,Travel_Frequently,Research & Development,7,Master,Life Sciences,1,Female,3,2,Manufacturing Director,1,Married,6567,1,No,14,4,3,0,16,2,2,15,11,5,11,Jora,29
2571,2055,40,0,Travel_Rarely,Human Resources,6,College,Medical,3,Male,3,4,Manager,4,Single,16437,1,Yes,21,3,4,0,21,2,3,21,7,7,7,Jora,19
1958,5603,35,1,Travel_Rarely,Research & Development,1,Bachelor,Medical,3,Female,2,1,Research Scientist,2,Single,2070,1,Yes,11,3,3,0,2,6,4,2,2,2,2,Seek,33
2593,9095,26,1,Travel_Rarely,Research & Development,2,Below college,Medical,4,Male,3,2,Sales Executive,1,Married,6392,2,No,13,3,4,1,8,6,1,2,2,2,2,GlassDoor,18
1116,6923,41,0,Non-Travel,Sales,10,College,Life Sciences,4,Male,3,2,Sales Executive,4,Single,6230,7,No,14,3,4,0,16,3,3,14,3,1,10,Seek,25
1159,6999,41,0,Travel_Rarely,Sales,2,Doctor,Life Sciences,2,Female,3,4,Manager,1,Married,16595,7,No,16,3,2,1,22,2,3,18,16,11,8,LinkedIn,19
1801,6152,41,0,Non-Travel,Research & Development,7,Below college,Life Sciences,2,Female,1,5,Research Director,3,Divorced,19973,1,No,22,3,2,2,21,3,3,21,16,5,10,Company Website,20
2843,7405,28,1,Travel_Rarely,Sales,3,Bachelor,Medical,4,Male,2,1,Research Scientist,4,Single,4930,0,Yes,14,3,3,0,6,2,4,5,4,1,4,Jora,22
1821,2825,45,0,Non-Travel,Sales,22,Bachelor,Other,4,Female,3,3,Manufacturing Director,1,Single,10880,4,No,22,4,2,2,10,3,4,8,7,5,7,Seek,35
169,1997,36,0,Travel_Rarely,Sales,9,Master,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,3,No,12,3,3,1,14,3,3,7,3,5,7,GlassDoor,22
700,8988,37,0,Travel_Frequently,Research & Development,10,Bachelor,Medical,1,Male,3,4,Manager,1,Divorced,17924,1,No,11,3,2,1,9,3,3,4,2,1,3,Recruit.net,28
2819,3046,46,0,Travel_Rarely,Research & Development,21,College,Medical,4,Female,3,1,Sales Representative,3,Married,2655,2,Yes,11,3,3,2,19,3,3,9,7,7,7,Company Website,27
3179,3214,30,1,Travel_Rarely,Sales,12,Bachelor,Technical Degree,4,Female,3,4,Manager,4,Married,17875,4,Yes,13,3,3,1,29,2,2,1,0,0,0,LinkedIn,1
1125,7358,36,0,Travel_Rarely,Research & Development,4,Master,Life Sciences,2,Male,3,2,Sales Executive,4,Single,6582,4,Yes,13,3,3,0,10,2,4,6,5,0,5,Company Website,26
3372,8929,26,1,Travel_Rarely,Sales,5,Bachelor,Other,4,Female,2,1,Sales Representative,3,Single,2966,0,No,18,3,4,0,5,2,3,4,2,0,0,Company Website,21
1400,7232,40,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,2,Male,4,1,Research Scientist,3,Single,3505,1,No,18,3,4,0,2,3,3,2,2,0,2,Company Website,38
2787,9911,40,0,Travel_Rarely,Sales,7,Master,Medical,4,Male,3,2,Sales Executive,4,Single,4581,3,Yes,24,3,1,0,13,2,4,11,9,6,7,Seek,27
65,4286,41,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,2,No,14,3,3,0,7,2,4,1,0,0,0,Indeed,34
3046,5390,40,1,Non-Travel,Research & Development,9,Master,Other,4,Male,2,1,Human Resources,1,Divorced,2335,4,Yes,15,3,4,3,4,3,3,2,2,2,0,Recruit.net,36
2813,4600,23,1,Travel_Rarely,Research & Development,8,Below college,Medical,4,Male,2,1,Laboratory Technician,3,Single,3989,1,Yes,11,4,1,0,5,2,3,5,4,1,2,Seek,18
3191,7167,27,1,Travel_Frequently,Human Resources,22,Bachelor,Human Resources,1,Female,2,1,Human Resources,2,Married,2863,1,No,12,3,1,0,1,2,3,1,0,0,0,Recruit.net,26
1692,8911,29,1,Travel_Frequently,Sales,20,Bachelor,Technical Degree,3,Female,3,1,Sales Representative,4,Married,2157,1,No,15,4,2,1,3,5,3,3,1,0,2,Indeed,26
1530,1257,37,0,Travel_Rarely,Sales,16,Master,Marketing,4,Male,2,2,Sales Executive,3,Divorced,6334,4,No,19,3,4,2,9,2,3,1,0,0,0,Referral,28
2824,9890,55,0,Travel_Rarely,Research & Development,22,Bachelor,Technical Degree,1,Male,2,1,Research Scientist,2,Divorced,3537,5,No,12,3,4,1,8,1,3,4,2,1,2,Adzuna,47
727,9465,46,1,Travel_Rarely,Sales,2,Bachelor,Technical Degree,3,Female,1,4,Manager,2,Married,16872,3,Yes,12,3,2,1,28,2,2,7,7,7,7,Company Website,18
2652,6886,35,1,Travel_Rarely,Research & Development,1,Bachelor,Medical,4,Male,3,1,Laboratory Technician,2,Married,2408,1,Yes,17,3,3,3,1,3,3,1,1,0,0,Company Website,34
1279,9388,47,0,Travel_Rarely,Sales,2,Master,Life Sciences,2,Male,4,1,Laboratory Technician,3,Married,3221,1,Yes,11,4,3,3,20,3,3,20,8,3,8,Company Website,27
320,4719,46,0,Travel_Rarely,Human Resources,5,College,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,3,4,1,16,2,3,4,2,0,2,Jora,30
3349,4089,45,0,Travel_Rarely,Sales,20,Bachelor,Life Sciences,4,Female,3,2,Sales Executive,3,Single,4850,8,No,15,3,3,0,8,3,3,5,3,0,1,Company Website,37
1090,5879,31,0,Travel_Frequently,Sales,2,Bachelor,Life Sciences,2,Male,3,3,Manufacturing Director,2,Divorced,10648,1,No,25,3,4,1,13,6,4,13,8,0,8,Indeed,18
694,4667,37,0,Travel_Rarely,Research & Development,1,College,Medical,3,Female,2,1,Research Scientist,1,Married,3920,2,No,14,3,1,1,17,2,2,3,1,0,2,Jora,20
2096,8074,60,0,Travel_Rarely,Sales,7,Master,Marketing,2,Male,4,2,Sales Executive,4,Married,5220,0,Yes,18,3,2,1,16,3,2,14,8,6,9,Company Website,44
1359,7218,30,1,Travel_Rarely,Sales,27,Doctor,Marketing,3,Male,3,2,Sales Executive,4,Divorced,5304,7,No,23,3,4,1,10,2,2,8,7,7,7,GlassDoor,20
1391,8245,52,1,Travel_Rarely,Sales,3,Master,Marketing,3,Male,2,4,Manager,1,Married,16856,1,No,11,3,1,0,34,3,4,34,6,1,16,LinkedIn,18
31,4034,24,1,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,Yes,16,4,4,1,6,4,3,6,3,1,2,Company Website,18
1257,2266,20,1,Travel_Rarely,Research & Development,10,Below college,Medical,4,Male,3,1,Research Scientist,3,Single,1009,1,Yes,11,3,4,0,1,5,3,1,0,1,1,Jora,19
1005,6776,59,0,Travel_Rarely,Sales,3,Bachelor,Life Sciences,2,Female,3,2,Manufacturing Director,1,Married,4306,1,No,12,3,2,1,16,6,3,11,8,3,9,LinkedIn,43
3362,4589,29,1,Travel_Rarely,Research & Development,28,Master,Medical,4,Female,2,1,Research Scientist,1,Single,3785,1,No,14,3,2,0,5,3,1,5,4,0,4,Jora,24
2171,1339,54,0,Travel_Frequently,Research & Development,11,Master,Medical,4,Male,2,2,Laboratory Technician,3,Married,3407,1,No,17,3,4,2,10,3,2,10,9,6,8,Indeed,44
2304,4549,55,1,Travel_Rarely,Sales,13,Master,Marketing,1,Male,4,4,Sales Executive,3,Single,13695,6,Yes,17,3,3,0,24,2,2,19,7,3,8,Recruit.net,31
2016,5056,26,1,Travel_Rarely,Research & Development,3,Master,Medical,1,Male,4,1,Laboratory Technician,4,Married,4420,1,No,22,3,2,1,8,2,3,8,7,0,7,Indeed,18
1298,4140,50,1,Travel_Frequently,Sales,8,College,Technical Degree,2,Male,3,2,Sales Executive,3,Married,6796,1,Yes,17,3,3,3,1,3,3,1,1,0,0,Company Website,49
447,2893,39,0,Travel_Rarely,Sales,4,Master,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9,Company Website,22
2644,2485,42,0,Travel_Rarely,Research & Development,2,Bachelor,Medical,4,Female,3,2,Sales Executive,1,Married,4639,1,No,15,3,3,1,5,2,3,5,4,1,2,LinkedIn,37
1052,8601,39,0,Travel_Rarely,Research & Development,18,College,Life Sciences,2,Female,3,5,Manager,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12,GlassDoor,18
